機關代碼,縣市代碼,行政區域代碼,年月,土地總筆數,土地總面積,建物總棟數,建物總面積
387000000A,10019,66000000,11005,1586895,2101155002.44,1080292,210414974.19
387000000A,10019,66000000,11006,1587577,2101159879.53,1081039,210615518.76
387000000A,10019,66000000,11007,1588231,2101228775.92,1082002,210852205.08
387000000A,10019,66000000,11008,1588724,2101240548.34,1083924,211266585.03
387000000A,10019,66000000,11009,1588925,2101397198.16,1085801,211704841.78
387000000A,10019,66000000,11010,1589476,2101433844.42,1087237,211987951.87
387000000A,10019,66000000,11011,1588992,2101219868.00,1089970,212451576.37
387000000A,10019,66000000,11012,1588273,2101136459.74,1092245,212866582.52
387000000A,10019,66000000,11101,1588591,2101165646.73,1093345,213185993.27
387000000A,10019,66000000,11102,1588938,2101177540.11,1094646,213478416.82
